state/ut,PC,candidate_name,party,evm_votes,postal_votes,total_votes,percent_votes,rank,Status
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,Indian National Congress,95249,59,95308,45.98,1,Won
Andaman & Nicobar Islands,Andaman & Nicobar Islands,VISHAL JOLLY,Bharatiya Janata Party,93772,129,93901,45.3,2,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,PARITOSH KUMAR HALDAR,Independent,5339,2,5341,2.58,3,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,SANJAY MESHACK,Aam Aadmi Party,2837,2,2839,1.37,4,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,PRAKASH MINJ,Bahujan Samaj Party,2478,8,2486,1.2,5,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,AYAN MANDAL,All India Trinamool Congress,1717,4,1721,0.83,6,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,NOTA,None of the Above,1411,1,1412,0.68,7,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,HENRY,Independent,994,0,994,0.48,8,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K VENKAT RAM BABU,Independent,914,0,914,0.44,9,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,MINATI BISWAS,Independent,615,3,618,0.3,10,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,S SUDERSHAN RAO,Independent,475,0,475,0.23,11,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,V V KHALID,Independent,305,1,306,0.15,12,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K KALIMUTHU,Independent,269,6,275,0.13,13,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,C U RASHEED,Independent,272,1,273,0.13,14,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,GOUR CHANDRA MAJUMDER,Independent,221,0,221,0.11,15,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,C G SAJI KUMAR,All India Hindustan Congress Party,212,0,212,0.1,16,Lost
Andhra Pradesh,Amalapuram,CHINTA ANURADHA,Yuvajana Sramika Rythu Congress Party,481358,3955,485313,39.43,1,Won
Andhra Pradesh,Amalapuram,GANTI HARISH MADHUR (BALAYOGI),Telugu Desam,442774,2573,445347,36.18,2,Lost
Andhra Pradesh,Amalapuram,D M R SEKHAR,Janasena Party,253271,1577,254848,20.7,3,Lost
Andhra Pradesh,Amalapuram,NOTA,None of the Above,16408,41,16449,1.34,4,Lost
Andhra Pradesh,Amalapuram,AYYAJI VEMA MANEPALLI,Bharatiya Janata Party,11358,158,11516,0.94,5,Lost
Andhra Pradesh,Amalapuram,JANGA GOUTHAM,Indian National Congress,7840,38,7878,0.64,6,Lost
Andhra Pradesh,Amalapuram,REVU SUDHAKAR,Independent,2770,1,2771,0.23,7,Lost
Andhra Pradesh,Amalapuram,MORTHA SIVA RAMA KRISHNA,Pyramid Party of India,1946,4,1950,0.16,8,Lost
Andhra Pradesh,Amalapuram,MURALIKRISHNA KANDERI,India Praja Bandhu Party,1801,1,1802,0.15,9,Lost
Andhra Pradesh,Amalapuram,PANTHAGADA VIJAYA CHAKRAVARTHY,Republican Party of India (Khobragade),1801,0,1801,0.15,10,Lost
Andhra Pradesh,Amalapuram,CHELLE RAJANI,Jana Jagruti Party,1228,0,1228,0.1,11,Lost
Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,583210,3016,586226,47.33,1,Won
Andhra Pradesh,Anakapalli,ADARI ANAND KUMAR,Telugu Desam,495381,1653,497034,40.13,2,Lost
Andhra Pradesh,Anakapalli,Chintala Partha Sarathi,Janasena Party,82126,462,82588,6.67,3,Lost
Andhra Pradesh,Anakapalli,NOTA,None of the Above,34877,20,34897,2.82,4,Lost
Andhra Pradesh,Anakapalli,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),Bharatiya Janata Party,12888,388,13276,1.07,5,Lost
Andhra Pradesh,Anakapalli,Ruthala Srirama Murthy,Indian National Congress,10072,49,10121,0.82,6,Lost
Andhra Pradesh,Anakapalli,Vadlamuri Krishna Swaroop,Dalita Bahujana Party,4443,1,4444,0.36,7,Lost
Andhra Pradesh,Anakapalli,Appala Naidu Tummagunta,Independent,3760,5,3765,0.3,8,Lost
Andhra Pradesh,Anakapalli,P.S.AJAY KUMAR,Communist Party of India  (Marxist-Leninist)  (Liberation),2708,8,2716,0.22,9,Lost
Andhra Pradesh,Anakapalli,Taadi Veera Jagadeeshwari,Pyramid Party of India,1801,2,1803,0.15,10,Lost
Andhra Pradesh,Anakapalli,K B SWAROOP,Jana Jagruti Party,1615,6,1621,0.13,11,Lost
Andhra Pradesh,Anantapur,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,690901,4307,695208,51.79,1,Won
Andhra Pradesh,Anantapur,J.C. PAVAN REDDY,Telugu Desam,550597,3183,553780,41.26,2,Lost
Andhra Pradesh,Anantapur,K.RAJIV REDDY,Indian National Congress,29994,85,30079,2.24,3,Lost
Andhra Pradesh,Anantapur,D.JAGADEESH,Communist Party of India,20192,102,20294,1.51,4,Lost
Andhra Pradesh,Anantapur,NOTA,None of the Above,16406,60,16466,1.23,5,Lost
Andhra Pradesh,Anantapur,HAMSA DEVINENI,Bharatiya Janata Party,7440,164,7604,0.57,6,Lost
Andhra Pradesh,Anantapur,S.V.P. YADAV,Independent,4398,0,4398,0.33,7,Lost
Andhra Pradesh,Anantapur,P. RANGAIAH,Independent,3580,8,3588,0.27,8,Lost
Andhra Pradesh,Anantapur,SOMANATH DESHMUKH,Independent,3236,1,3237,0.24,9,Lost
Andhra Pradesh,Anantapur,VADDE KASINATH,Independent,2063,3,2066,0.15,10,Lost
Andhra Pradesh,Anantapur,L. RANGAIAH,Independent,1688,3,1691,0.13,11,Lost
Andhra Pradesh,Anantapur,P.RADHA KRISHNA,Radical Democrats,1219,1,1220,0.09,12,Lost
Andhra Pradesh,Anantapur,M.VENKATESULU,Pyramid Party of India,1043,5,1048,0.08,13,Lost
Andhra Pradesh,Anantapur,G. LALITHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),890,9,899,0.07,14,Lost
Andhra Pradesh,Anantapur,GADIDAMA RANGANAYAKULU,Vishwa Jana Party,728,0,728,0.05,15,Lost
Andhra Pradesh,Aruku,GODDETI. MADHAVI,Yuvajana Sramika Rythu Congress Party,557561,4629,562190,52.32,1,Won
Andhra Pradesh,Aruku,KISHORE CHANDRA DEO,Telugu Desam,336163,1938,338101,31.46,2,Lost
Andhra Pradesh,Aruku,NOTA,None of the Above,47955,22,47977,4.46,3,Lost
Andhra Pradesh,Aruku,GANGULAIAH VAMPURU.,Janasena Party,42245,549,42794,3.98,4,Lost
Andhra Pradesh,Aruku,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,Bharatiya Janata Party,17578,289,17867,1.66,5,Lost
Andhra Pradesh,Aruku,SHRUTI DEVI VYRICHERLA,Indian National Congress,17656,74,17730,1.65,6,Lost
Andhra Pradesh,Aruku,KANGALA BALUDORA,Independent,13810,16,13826,1.29,7,Lost
Andhra Pradesh,Aruku,NARAVA SATYAVATHI,Independent,11231,5,11236,1.05,8,Lost
Andhra Pradesh,Aruku,ANUMULA VAMSIKRISHNA,Independent,10211,29,10240,0.95,9,Lost
Andhra Pradesh,Aruku,BIDDIKA RAMAYYA.,Independent,7863,4,7867,0.73,10,Lost
Andhra Pradesh,Aruku,SWAMULA. SUBRAHMANYAM,Jana Jagruti Party,4705,5,4710,0.44,11,Lost
Andhra Pradesh,Bapatla,NANDIGAM SURESH,Yuvajana Sramika Rythu Congress Party,592250,6007,598257,47.24,1,Won
Andhra Pradesh,Bapatla,MALYADRI SRIRAM,Telugu Desam,577403,4789,582192,45.97,2,Lost
Andhra Pradesh,Bapatla,K. DEVANAND,Bahujan Samaj Party,42262,318,42580,3.36,3,Lost
Andhra Pradesh,Bapatla,NOTA,None of the Above,13178,40,13218,1.04,4,Lost
